prop_id,situs_num,situs_street,title_owner_name,property_use_cd,property_use_description,zoning,zoning_description,market_land_val,market_improvement_val,market,appraised_val_total,taxable_val_total,yr_blt,sqft_la,imprv_type,legal_description,tax_payer_name,tax_payer_city,tax_payer_state
156115,,,BELLS GROVE PROPERTY OWNERS OF,7630,GREEN WY/BLT,RR2   ,RES RURAL 2DU/A,0,0,0,0,0,0,0,,BEAP 620.44 FT E OF NW COR OF GOVT LOT 1 TH S 20 FT TO TPOB-TH S 1450 FT PAR TO W LI OF GOVT LOT 1-TH W 89.44 FT-TH N 1450 FT-TH E 89.44 FT TO TPOB-TOG WI PERPETUAL ESMT TO BEACH AREA DESC,BELLS GROVE PROPERTY OWNERS OF,POINT ROBERTS,WA
154807,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1406,6101,7507,7507,7507,0,0,COMM ,"POINT ROBERTS YACHT BASIN PHASE I CONDOMINIUM-DOCK I  UNIT 1-TOG WI UNDIV INT DESC AF 1372741-BEAP WH BEARS S 12 DEG 40'08"" E 1715.22 FT FR N 1/4 SEC COR SD PT BEING NW COR OF LOT 51 POINT",POINT ROBERTS RESORT LP,PT ROBERTS,WA
154766,,,WHATCOM COUNTY WATER DIST 4,4800,UTILITIES,RR2   ,RES RURAL 2DU/A,60000,0,60000,60000,0,0,0,,E 1/2 OF TR DAF-BEG AT SE COR OF NW NW- TH N 40 RODS-TH W 40 RODS-TH S 40 RODS TH E 40 RODS TO POB,WHATCOM COUNTY WATER DIST 4,POINT ROBERTS,WA
155405,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,7277,9007,9007,9007,0,0,COMM ,"POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 1-TOG WI UNDIV INT DESC AF 1372741-BEAP WH BEARS 40 DEG 49'37"" W 373.20 FT FR N 1/4 SEC COR SD PT BEING TPOB-TH 13 DEG 56'12"" E 99.96",POINT ROBERTS RESORT LP,PT ROBERTS,WA
154691,,,WHATCOM COUNTY PUBLIC WORKS - ROADS,4800,UTILITIES,RR2   ,RES RURAL 2DU/A,11830,0,11830,11830,0,0,0,,DRAINAGE DITCH E 30 FT OF GOVT LOT 2 DESC AF 474327   ,WHATCOM COUNTY PUBLIC WORKS - ROADS,BELLINGHAM,WA
154689,,,WHATCOM COUNTY PUBLIC WORKS - ROADS,4800,UTILITIES,RR1   ,RES RURAL 1DU/A,1500,0,1500,1500,0,0,0,,DRAINAGE DITCH E 30 FT OF N 150 FT OF GOVT LOT 1 DESC AF 476257   ,WHATCOM COUNTY PUBLIC WORKS - ROADS,BELLINGHAM,WA
155406,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1622,6925,8547,8547,8547,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK A  UNIT 2-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155452,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,7277,9007,9007,9007,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK B  UNIT 1-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155508,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,7277,9007,9007,9007,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK C  UNIT 1-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155568,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1730,7277,9007,9007,9007,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK D  UNIT 1-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155628,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,2379,12070,14449,14449,14449,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK E  UNIT 1-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155684,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,2379,12070,14449,14449,14449,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK F  UNIT 1-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155732,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,2920,18102,21022,21022,21022,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK G  UNIT 1-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
155774,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,3785,26581,30366,30366,30366,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE II CONDOMINIUM-DOCK H  UNIT 1-TOG WI UNDIV INT DESC AF 1380766  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
154808,,,POINT ROBERTS RESORT LP,5020,MARINE CONDO,RC    ,RESORT COMM    ,1406,6101,7507,7507,7507,0,0,COMM ,POINT ROBERTS YACHT BASIN PHASE I CONDOMINIUM-DOCK I  UNIT 2-TOG WI UNDIV INT DESC AF 1372741  ,POINT ROBERTS RESORT LP,PT ROBERTS,WA
